City_ID,City,Country,Date,Lat,Lng,Max Temp,Current Description,Humidity,Clouds,Wind Speed,Rain (last 3h),Snow (last 3h)
183,Erdenet,MN,2020-04-19 20:30:43,49.03,104.08,22.78,broken clouds,61,64,2.98,0.0,0.0
184,Guerrero Negro,MX,2020-04-19 20:30:44,27.98,-114.06,67.68,broken clouds,56,84,18.21,0.0,0.0
185,Hearst,CA,2020-04-19 20:30:44,49.68,-83.67,23.77,light snow,87,100,6.85,0.0,0.14
186,Kenai,US,2020-04-19 20:28:56,60.55,-151.26,44.6,overcast clouds,87,90,3.36,0.0,0.0
187,Shushenskoye,RU,2020-04-19 20:30:45,53.33,91.94,41.0,clear sky,44,0,8.95,0.0,0.0
188,Lowestoft,GB,2020-04-19 20:30:45,52.48,1.75,48.0,clear sky,90,0,8.01,0.0,0.0
189,Bonthe,SL,2020-04-19 20:26:09,7.53,-12.51,81.82,overcast clouds,78,100,7.67,0.0,0.0
190,Virginia Beach,US,2020-04-19 20:26:46,36.85,-75.98,68.0,overcast clouds,55,90,10.29,0.0,0.0
191,Kokopo,PG,2020-04-19 20:30:45,-4.35,152.26,80.38,scattered clouds,79,37,3.18,0.0,0.0
192,Padang,ID,2020-04-19 20:26:47,-0.95,100.35,78.03,light rain,77,7,3.89,0.12,0.0
193,Nigde,TR,2020-04-19 20:30:46,37.83,34.75,50.5,overcast clouds,37,98,1.95,0.0,0.0
194,San Patricio,MX,2020-04-19 20:28:25,19.22,-104.7,78.8,clear sky,69,5,13.87,0.0,0.0
195,Killybegs,IE,2020-04-19 20:30:47,54.63,-8.45,53.6,clear sky,71,1,11.41,0.0,0.0
196,Pacific Grove,US,2020-04-19 20:24:56,36.62,-121.92,61.0,broken clouds,63,75,8.05,0.0,0.0
197,Olafsvik,IS,2020-04-19 20:30:47,64.89,-23.71,43.39,moderate rain,94,100,17.27,3.6,0.0
198,Channel-Port Aux Basques,CA,2020-04-19 20:30:47,47.57,-59.14,33.89,snow,91,100,21.34,0.0,7.41
