City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Rain (last 3h),Snow (last 3h),Hotel Name
247,Adrar,MR,79.21,clear sky,20.5,-10.07,0.0,0.0,
248,Dumas,US,73.0,clear sky,35.87,-101.97,0.0,0.0,Holiday Inn Express & Suites Dumas
253,Constitucion,CL,64.09,broken clouds,-35.33,-72.42,0.0,0.0,Hotel Boutique Las Azucenas
254,Tumpat,MY,80.6,light rain,6.2,102.17,0.0,0.0,"Senangin Resort , Pantai Sri Tujuh, Tumpat Kelantan"
256,Lahaina,US,78.8,clear sky,20.88,-156.68,0.0,0.0,Lahaina Shores Beach Resort
257,Payakumbuh,ID,69.91,broken clouds,-0.22,100.63,0.0,0.0,OYO 3114 Homestay Dalimo
259,Walvis Bay,,60.8,clear sky,-22.96,14.51,0.0,0.0,Oyster Box Guesthouse
265,Saint George,US,72.0,clear sky,37.1,-113.58,0.0,0.0,Best Western Plus Abbey Inn
266,Phu Ly,VN,74.71,scattered clouds,20.54,105.91,0.0,0.0,5 Star Apartment Central Phu Ly
268,Bairiki,KI,82.4,shower rain,1.33,172.98,0.0,0.0,Tarawa Boutique Hotel
269,Fortuna,US,60.01,clear sky,40.6,-124.16,0.0,0.0,Super 8 Fortuna
273,Rawson,AR,65.5,overcast clouds,-43.3,-65.1,0.0,0.0,Hotel Punta León
276,Alofi,NU,82.4,broken clouds,-19.06,-169.92,0.0,0.0,Taloa Heights
277,Madimba,TZ,77.0,few clouds,-10.4,40.33,0.0,0.0,
278,Mirabad,AF,72.68,clear sky,30.44,61.84,0.0,0.0,
283,Itamarandiba,BR,63.72,few clouds,-17.86,-42.86,0.0,0.0,Aricanduva Hotel
284,Ecoporanga,BR,70.43,scattered clouds,-18.37,-40.83,0.0,0.0,Hotel Bar e Restaurante do Dico
285,Salalah,OM,82.4,few clouds,17.02,54.09,0.0,0.0,HAMDAN PLAZA HOTEL
287,Capaci,IT,66.0,overcast clouds,38.17,13.24,0.0,0.0,Hotel Sirenetta
289,Huarmey,PE,77.76,clear sky,-10.07,-78.15,0.0,0.0,Hotel Miramar
291,Abu Zabad,SD,77.83,scattered clouds,12.35,29.25,0.0,0.0,محي الدين نوري
292,Ananindeua,BR,80.6,broken clouds,-1.37,-48.37,0.0,0.0,Motel Pousada Athenas
294,Port Blair,IN,83.35,clear sky,11.67,92.75,0.0,0.0,Hotel Sentinel
296,Georgetown,MY,80.6,few clouds,5.41,100.34,0.0,0.0,Cititel Penang
297,Razole,IN,77.02,broken clouds,16.48,81.83,0.0,0.0,Hotel Somisetty Landmark Konaseema
298,Chicama,PE,73.4,few clouds,-7.84,-79.15,0.0,0.0,Hospedaje Punta Cana PERU
300,Nanakuli,US,78.8,broken clouds,21.39,-158.15,0.0,0.0,Camp Palehua
301,Pangkalanbuun,ID,75.58,broken clouds,-2.68,111.62,0.0,0.0,Grand Kecubung Hotel
302,Nishihara,JP,75.2,broken clouds,26.18,127.76,0.0,0.0,Minshuku Agaihama
303,Tshikapa,CD,69.87,broken clouds,-6.42,20.8,0.0,0.0,Hôtel Tshia-Muntu de Tshikapa
306,Kaohsiung,TW,75.99,few clouds,22.62,120.31,0.0,0.0,Kindness Hotel
